equation_id,seed,method,reward_function,min_error,success,best_expr,expr_tokens,expr_params,original_equation,ground_truth,n_variables,evaluation_calls,best_expr_simplified
I.10.7,0,GRAMS-PUCT,BIC,0.06635291727222493,False,X_0*C+cos(C-C/X_2*X_1),"['X_0', '*', 'C', '+', 'cos', '(', 'C', '-', 'C', '/', 'X_2', '*', 'X_1', ')']","[np.float64(1.0452284085541874), np.float64(4.396517755193412), np.float64(-1.2131913790548032)]",m = m_0/sqrt(1-v^2/c^2),"['X_0', '/', 'sqrt', '(', '1', '-', 'X_1', '^2', '/', 'X_2', '^2', ')']",3,10000,C*X_0+cos((C*X_1)/X_2+C)
I.10.7,1,GRAMS-PUCT,BIC,0.054767803891365464,False,X_0+(C*X_1+X_0)*X_1/(X_2)*C+X_2*C,"['X_0', '+', '(', 'C', '*', 'X_1', '+', 'X_0', ')', '*', 'X_1', '/', '(', 'X_2', ')', '*', 'C', '+', 'X_2', '*', 'C']","[np.float64(0.9883310708656171), np.float64(0.19358673225593792), np.float64(-0.014052652612125358)]",m = m_0/sqrt(1-v^2/c^2),"['X_0', '/', 'sqrt', '(', '1', '-', 'X_1', '^2', '/', 'X_2', '^2', ')']",3,10000,((((C*X_0)*X_1)/X_2+(C*X_1^2)/X_2)+C*X_2)+X_0
I.10.7,2,GRAMS-PUCT,BIC,0.04300854970021929,False,X_0*(X_1/X_2*C/C+C*X_0-C),"['X_0', '*', '(', 'X_1', '/', 'X_2', '*', 'C', '/', 'C', '+', 'C', '*', 'X_0', '-', 'C', ')']","[np.float64(-1.9822826314112276), np.float64(-5.0), np.float64(0.00017856939434036028), np.float64(-0.9410834810997015)]",m = m_0/sqrt(1-v^2/c^2),"['X_0', '/', 'sqrt', '(', '1', '-', 'X_1', '^2', '/', 'X_2', '^2', ')']",3,10000,(C*X_0^2+((C*X_0)*X_1)/X_2)+C*X_0
I.10.7,0,GRAMS-PUCT,RMSE,0.0730235651395394,False,(X_1/X_2)+X_0-(C/X_2)*X_0+C/X_0,"['(', 'X_1', '/', 'X_2', ')', '+', 'X_0', '-', '(', 'C', '/', 'X_2', ')', '*', 'X_0', '+', 'C', '/', 'X_0']","[np.float64(-0.015188371497976192), np.float64(-0.3120481202181345)]",m = m_0/sqrt(1-v^2/c^2),"['X_0', '/', 'sqrt', '(', '1', '-', 'X_1', '^2', '/', 'X_2', '^2', ')']",3,10000,(((C*X_0)/X_2+C/X_0)+X_0)+X_1/X_2
I.10.7,1,GRAMS-PUCT,RMSE,0.035774047334725285,False,X_0/C/(X_1-X_1/C-X_2)*X_2-C,"['X_0', '/', 'C', '/', '(', 'X_1', '-', 'X_1', '/', 'C', '-', 'X_2', ')', '*', 'X_2', '-', 'C']","[np.float64(-1.051593446900277), np.float64(1.5150033310593547), np.float64(0.00033872013012840126)]",m = m_0/sqrt(1-v^2/c^2),"['X_0', '/', 'sqrt', '(', '1', '-', 'X_1', '^2', '/', 'X_2', '^2', ')']",3,10000,((C*X_0)*X_2)/((C*X_1+X_1)+-1*X_2)+C
I.10.7,2,GRAMS-PUCT,RMSE,0.06578844341791425,False,(C+C*X_0/(exp(X_2))+C+X_0)+(X_1)*C,"['(', 'C', '+', 'C', '*', 'X_0', '/', '(', 'exp', '(', 'X_2', ')', ')', '+', 'C', '+', 'X_0', ')', '+', '(', 'X_1', ')', '*', 'C']","[np.float64(-0.91852285903281), np.float64(3.3868013463819033), np.float64(0.6968757339466596), np.float64(0.18846614598765454)]",m = m_0/sqrt(1-v^2/c^2),"['X_0', '/', 'sqrt', '(', '1', '-', 'X_1', '^2', '/', 'X_2', '^2', ')']",3,10000,(((C*X_0)*exp(-1*X_2)+C*X_1)+C)+X_0
I.10.7,0,GRAMS-UCT,BIC,0.04300934897528798,False,C+C*(C*C)*X_0-C-C*X_1/X_2*C*X_0,"['C', '+', 'C', '*', '(', 'C', '*', 'C', ')', '*', 'X_0', '-', 'C', '-', 'C', '*', 'X_1', '/', 'X_2', '*', 'C', '*', 'X_0']","[np.float64(2.878681047251887), np.float64(1.4836763543074218), np.float64(1.0293578627589255), np.float64(0.6168770408030234), np.float64(2.8799162407139156), np.float64(0.28705709137054336), np.float64(-1.3812393386356625)]",m = m_0/sqrt(1-v^2/c^2),"['X_0', '/', 'sqrt', '(', '1', '-', 'X_1', '^2', '/', 'X_2', '^2', ')']",3,10000,(((C*X_0)*X_1)/X_2+C*X_0)+C
I.10.7,1,GRAMS-UCT,BIC,0.034270179016831354,False,C*X_1*C/C/(X_1+C-C)/(X_1*X_2)/X_2/((X_2/sin(X_0*C/C)))+X_0,"['C', '*', 'X_1', '*', 'C', '/', 'C', '/', '(', 'X_1', '+', 'C', '-', 'C', ')', '/', '(', 'X_1', '*', 'X_2', ')', '/', 'X_2', '/', '(', '(', 'X_2', '/', 'sin', '(', 'X_0', '*', 'C', '/', 'C', ')', ')', ')', '+', 'X_0']","[np.float64(4.934435668991869), np.float64(4.999318536173606), np.float64(-0.5018971311274428), np.float64(1.850585471270402), np.float64(4.225364705832489), np.float64(-0.4164376759042513), np.float64(-5.0)]",m = m_0/sqrt(1-v^2/c^2),"['X_0', '/', 'sqrt', '(', '1', '-', 'X_1', '^2', '/', 'X_2', '^2', ')']",3,10000,(C*sin(C*X_0))/(C*X_2^3+X_1*X_2^3)+X_0
I.10.7,2,GRAMS-UCT,BIC,0.049973242046978644,False,X_0/C*X_0*C/X_0+C-((X_0*(C+C/X_0*X_1)+C)*C-X_2*X_0*C)/X_2,"['X_0', '/', 'C', '*', 'X_0', '*', 'C', '/', 'X_0', '+', 'C', '-', '(', '(', 'X_0', '*', '(', 'C', '+', 'C', '/', 'X_0', '*', 'X_1', ')', '+', 'C', ')', '*', 'C', '-', 'X_2', '*', 'X_0', '*', 'C', ')', '/', 'X_2']","[np.float64(-4.284895006903842), np.float64(-4.94999433541102), np.float64(0.0075257075137469915), np.float64(0.6939920767861163), np.float64(1.4869464824105862), np.float64(-2.2782157510578505), np.float64(-0.8622071459668682), np.float64(-0.2140210234632274)]",m = m_0/sqrt(1-v^2/c^2),"['X_0', '/', 'sqrt', '(', '1', '-', 'X_1', '^2', '/', 'X_2', '^2', ')']",3,10000,((((2*C)*X_0+(C*X_0)/X_2)+(C*X_1)/X_2)+C)+C/X_2
I.10.7,0,GRAMS-UCT,RMSE,0.035774233154559104,False,(X_2)*X_0/(C*X_2-C*X_0/X_0*X_1),"['(', 'X_2', ')', '*', 'X_0', '/', '(', 'C', '*', 'X_2', '-', 'C', '*', 'X_0', '/', 'X_0', '*', 'X_1', ')']","[np.float64(1.0516990592586097), np.float64(0.3575412778352264)]",m = m_0/sqrt(1-v^2/c^2),"['X_0', '/', 'sqrt', '(', '1', '-', 'X_1', '^2', '/', 'X_2', '^2', ')']",3,10000,(X_0*X_2)/(C*X_1+C*X_2)
